id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1343738677508321281,1343738677508321281,2020-12-29 02:00:40 UTC,2020-12-29,02:00:40,0,35914587,unodetuiter,Nacho,,Esta es la BBC que nos prometió Soretelo? Capaz no era la British Broadcasting Corporation sino la de Burundi.,es,[],[],[],0,0,6,[],[],https://twitter.com/unodetuiter/status/1343738677508321281,False,https://twitter.com/pantallazomvd/status/1343523415068717059,0,,,,,,,,[],,,,
1331505822975864834,1331505822975864834,2020-11-25 07:51:41 UTC,2020-11-25,07:51:41,0,126592284,hyzaidi,Hasan Zaidi,,Are we sure BBC did not refer to Burundi Broadcasting Corp? Bolivia Beer Company? Bhutan’s Bodacious  Court?,en,[],[],[],1,0,6,[],[],https://twitter.com/hyzaidi/status/1331505822975864834,False,https://twitter.com/Benazir_Shah/status/1331495845209010176,0,,,,,,,,[],,,,
1320015153853677568,1320015153853677568,2020-10-24 14:51:52 UTC,2020-10-24,14:51:52,0,1255184631059697664,super_0f_dance,The Super 0f Dance Cr3w-BURUNDI,,"#Likee #HelloLikee The Super 0f Dance Cr3w - BURUNDI is broadcasting a Magic Live, come and join in! https://t.co/bAdRWmn2BA  https://t.co/g4ORvhQc32",en,[],['http://s.likee.video/sid/877565373?b=683722968&c=tw&l=en-BI'],['https://pbs.twimg.com/media/ElGiyVvVkAAUuCg.png'],0,0,0,"['likee', 'hellolikee']",[],https://twitter.com/super_0f_dance/status/1320015153853677568,False,,1,https://pbs.twimg.com/media/ElGiyVvVkAAUuCg.png,,,,,,,[],,,,
1307158722129489920,1307051464221691905,2020-09-19 03:24:59 UTC,2020-09-19,03:24:59,0,3214091772,theemailofadam1,Jan Adam King,,@LoyalDefender2K Why won’t the Burundi Broadcasting Company just DIE  https://t.co/qxajlbiQvz,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EiP17ReUcAAmGE4.jpg'],0,0,2,[],[],https://twitter.com/theemailofadam1/status/1307158722129489920,False,,1,https://pbs.twimg.com/tweet_video_thumb/EiP17ReUcAAmGE4.jpg,,,,,,,"[{'screen_name': 'LoyalDefender2K', 'name': 'Lionheart #LawAndOrder', 'id': '1052994540418809861'}]",,,,
1287058834452881408,1287058834452881408,2020-07-25 16:15:13 UTC,2020-07-25,16:15:13,0,294071256,ifex,IFEX,,"Letter to President Ndayishimiye from @pressfreedom: please break away from Burundi's history of media repression and release #IWACU4, lift ban on broadcasting outlets, investigate #Jean Bigirimana disappearance:  https://t.co/wRu5CONxze @iwacuinfo @burundionthemap @OneFreePress",en,"[{'screen_name': 'pressfreedom', 'name': 'committee to protect journalists', 'id': '18650093'}, {'screen_name': 'iwacuinfo', 'name': 'iwacu burundi', 'id': '100731073'}, {'screen_name': 'burundionthemap', 'name': 'burundi on the map', 'id': '3980444332'}, {'screen_name': 'onefreepress', 'name': 'one free press coalition', 'id': '1100498381779144705'}]",['http://ow.ly/ffus30r0B8L'],[],0,1,1,"['iwacu4', 'jean']",[],https://twitter.com/IFEX/status/1287058834452881408,False,,0,,,,,,,,[],,,,
1284457899096526856,1284457899096526856,2020-07-18 12:00:01 UTC,2020-07-18,12:00:01,0,338234500,christianaidirl,Christian Aid Ireland,,"In Burundi our partners are raising awareness on preventing the spread of #coronavirus by putting up 3,500 posters in churches, mosques &amp; other public places across Bujumbura &amp; 3 provinces. They are also broadcasting health messages across 6 radio stations  https://t.co/jutgEp4pz5",en,[],['https://bit.ly/3fk1YXE'],[],0,2,3,['coronavirus'],[],https://twitter.com/ChristianAidIrl/status/1284457899096526856,False,,0,,,,,,,,[],,,,
1284161195604414464,1284160886840721408,2020-07-17 16:21:02 UTC,2020-07-17,16:21:02,0,18650093,pressfreedom,Committee to Protect Journalists,,"""[W]e urge you to release the four imprisoned Iwacu media group journalists, lift bans on broadcasting outlets, carry out credible investigations into attacks on journalists, and end the use of internet disruptions,"" wrote CPJ to #Burundi's new president.  https://t.co/WRW1tWyhcl",en,[],['https://cpj.org/2020/07/cpj-calls-on-burundis-new-president-to-free-iwacu-journalists-respect-press-freedom/'],[],0,4,3,['burundi'],[],https://twitter.com/pressfreedom/status/1284161195604414464,False,,0,,,,,,,,[],,,,
1280731388254326789,1280731388254326789,2020-07-08 05:12:12 UTC,2020-07-08,05:12:12,0,1092454962016276484,chickenbot1,chicken bot,,why did the hog cross the border to Burundi?  To get to the International Broadcasting Bureau,en,[],[],[],0,0,0,[],[],https://twitter.com/chickenbot1/status/1280731388254326789,False,,0,,,,,,,,[],,,,
1278674728413097985,1278673247962378241,2020-07-02 12:59:46 UTC,2020-07-02,12:59:46,0,722424513812631553,tuyisengeepiph1,Rwanda Beranova 🇷🇼,,@MrSadikii @rbarwanda @Radiorwanda_RBA @EpaNdungutse @RobCyubahiro @AthanTashobya Oya ubwo ni BBA:Burundi Broadcasting Agency irahari se hubwo ?😂😂😂😂,tl,[],[],[],1,0,1,[],[],https://twitter.com/TuyisengeEpiph1/status/1278674728413097985,False,,0,,,,,,,,"[{'screen_name': 'MrSadikii', 'name': 'Sadiki ISHIMWE', 'id': '844948719481053185'}, {'screen_name': 'rbarwanda', 'name': 'Rwanda Broadcasting Agency (RBA)', 'id': '871681970'}, {'screen_name': 'Radiorwanda_RBA', 'name': 'RADIO RWANDA', 'id': '2210933215'}, {'screen_name': 'EpaNdungutse', 'name': 'Epa Ndungutse🇷🇼', 'id': '2339781909'}, {'screen_name': 'RobCyubahiro', 'name': 'Robert Cyubahiro McKenna', 'id': '2403029119'}, {'screen_name': 'AthanTashobya', 'name': 'Athan Tashobya', 'id': '353165664'}]",,,,
1270737118868975617,1270734752346255361,2020-06-10 15:18:32 UTC,2020-06-10,15:18:32,0,55370662,direthoughts,Henry Dyer,,@manueky Presumably it's the Burundi Broadcasting Corporation,en,[],[],[],0,0,1,[],[],https://twitter.com/Direthoughts/status/1270737118868975617,False,,0,,,,,,,,"[{'screen_name': 'manueky', 'name': 'Manu Ekanayake', 'id': '150692911'}]",,,,
1266951779851407361,1266951779851407361,2020-05-31 04:36:57 UTC,2020-05-31,04:36:57,0,1123524200109682688,ainkingi,APG-Inkingi,,#COVID-19 is still here! Burundi public health ministry has announced 21 new cases. APG-Inkingi via a support from @streetchilduk is broadcasting  a sensitization radio spot @RadioIsanganiro and @Rematele for more community awareness.,en,"[{'screen_name': 'streetchilduk', 'name': 'street child', 'id': '182374354'}, {'screen_name': 'radioisanganiro', 'name': 'isanganiro', 'id': '343241954'}, {'screen_name': 'rematele', 'name': 'remafm', 'id': '755013808217812992'}]",[],[],0,1,2,['covid'],[],https://twitter.com/AInkingi/status/1266951779851407361,False,,0,,,,,,,,[],,,,
1266432637738123277,1266432637738123277,2020-05-29 18:14:04 UTC,2020-05-29,18:14:04,0,3014468986,odanga23,Joseph Odanga 🇰🇪,,"@ntvkenya #ntvweekendedition broadcasting Burundi first lady brought to the country after testing positive, then why movement restrictions if the govt is allowing importation of Corona into the country? Surely are we serious as a country? #TheCOVID19Pandemic",en,[],[],[],0,0,0,"['ntvweekendedition', 'thecovid19pandemic']",[],https://twitter.com/odanga23/status/1266432637738123277,False,,0,,,,,,,,[],,,,
1265773996097916930,1265368646714560512,2020-05-27 22:36:52 UTC,2020-05-27,22:36:52,0,1579292618,oirishpatrick,Patrick Fullerton esq.,,@SallyMi83941850 @Elizabe28594095 @Martin_Durkin Is that the Burundi Broadcasting Corporation you're talking about.,en,[],[],[],0,0,1,[],[],https://twitter.com/OirishPatrick/status/1265773996097916930,False,,0,,,,,,,,"[{'screen_name': 'SallyMi83941850', 'name': 'Sally Miller', 'id': '1248731077075664898'}, {'screen_name': 'Elizabe28594095', 'name': 'Elizabeth Jackson', 'id': '1108311768214982659'}, {'screen_name': 'Martin_Durkin', 'name': 'Gnasher', 'id': '267862234'}]",,,,
1259451874375282691,1259396047891300352,2020-05-10 11:55:00 UTC,2020-05-10,11:55:00,0,1184837325051838468,phnalbert,Albert BUSUMBIGABO,,@burundi891 @RwandaMoD Aucun soldat Rwandais n'a été bléssé ni tué ....    Rwanda Broadcasting Agency (RBA) (@rbarwanda) Tweeted: #RDF yavuze uburyo abasirikare b'u #Burundi baherutse kurasa ku Ngabo z'u #Rwanda #RBAAmakuru  ➡️ https://t.co/Zuqu5sNNbE  https://t.co/Mrvn0EFZMU ( https://t.co/WaqoiHbMPa),und,"[{'screen_name': 'rbarwanda', 'name': 'rwanda broadcasting agency (rba)', 'id': '871681970'}]","['https://bit.ly/35MD1jq', 'https://twitter.com/rbarwanda/status/1259405447070724096?s=20']",['https://pbs.twimg.com/media/EXpOlA0XkAAeL2w.jpg'],1,0,2,"['rdf', 'burundi', 'rwanda', 'rbaamakuru']",[],https://twitter.com/PhnAlbert/status/1259451874375282691,False,https://twitter.com/rbarwanda/status/1259405447070724096?s=20,1,https://pbs.twimg.com/media/EXpOlA0XkAAeL2w.jpg,,,,,,,"[{'screen_name': 'burundi891', 'name': 'BURUNDI STAND UP', 'id': '803476489052229632'}, {'screen_name': 'RwandaMoD', 'name': 'Rwanda Defence Force', 'id': '601992546'}]",,,,
1255665918446878721,1255646981738975235,2020-04-30 01:10:58 UTC,2020-04-30,01:10:58,0,3252127786,mwangimaina_,Mwangi Maina,,"In #Burundi, survival of independent reporting has been under THREAT. @BBC &amp; @VOANews were barred from broadcasting in the nation. Journalist Jean Bigirimana is still missing since July 2016. In short, Burundi is a no go zone for #Media.",en,"[{'screen_name': 'bbc', 'name': 'bbc', 'id': '19701628'}, {'screen_name': 'voanews', 'name': 'the voice of america', 'id': '16273831'}]",[],[],1,0,0,"['burundi', 'media']",[],https://twitter.com/MwangiMaina_/status/1255665918446878721,False,,0,,,,,,,,[],,,,
1251030813623320576,1251030813623320576,2020-04-17 06:12:43 UTC,2020-04-17,06:12:43,0,1092454962016276484,chickenbot1,chicken bot,,why did the mandrill cross the border to Burundi?  To get to the International Broadcasting Bureau,en,[],[],[],0,0,0,[],[],https://twitter.com/chickenbot1/status/1251030813623320576,False,,0,,,,,,,,[],,,,
1249713235143667714,1249707087468335105,2020-04-13 14:57:08 UTC,2020-04-13,14:57:08,0,954195998,daddyteehassan,Arakunrin Akanbi,,@MrLekanAdigun @TheShehus Aunty Kemi is on trans. She wont watch it cos she's expecting Buhari to be broadcasting from Burundi,en,[],[],[],1,1,2,[],[],https://twitter.com/DaddyteeHassan/status/1249713235143667714,False,,0,,,,,,,,"[{'screen_name': 'MrLekanAdigun', 'name': 'El Commandante', 'id': '2847965583'}, {'screen_name': 'TheShehus', 'name': '#ForGodAndCountry #Nigeria 🇳🇬', 'id': '988234593525518336'}]",,,,
1248025974593277952,1247775186079739911,2020-04-08 23:12:34 UTC,2020-04-08,23:12:34,0,737413079521239041,mediabox16,MediaBox Digital,,"@ngendapatrick Effectivement, le taux de pénétration de l'internet augmente chaque année et  nos concitoyens utilisent de + en + les RS. Néanmoins, la majorité des #burundi-ais n'ont pas accès aux smartphones. @mediabox16 préconise le multicanal (RS, Cell Broadcasting Services, USSD, etc.)",fr,"[{'screen_name': 'mediabox16', 'name': 'mediabox digital', 'id': '737413079521239041'}]",[],[],1,3,6,['burundi'],[],https://twitter.com/mediabox16/status/1248025974593277952,False,,0,,,,,,,,"[{'screen_name': 'ngendapatrick', 'name': 'Ngendakumana J. Patrick', 'id': '46601072'}]",,,,
1231099490653831168,1231099490653831168,2020-02-22 06:12:45 UTC,2020-02-22,06:12:45,0,744224838420676609,freemanbikorwa,Freeman Bikorwa,,World Wide Tribute To KIZITO MIHIGO - Live Broadcasting - Feb/22/2020  https://t.co/MivB5M3KsU #FactsOnRwanda #propheticupdate #Rwanda  #Justice4Kizito #Kizitomihigo @KMPfoundation #genocide #Tutsi #Hutu #refugees #PaulKagame  #AERG #MappingReport #Burundi #Tanzania #Africa,en,"[{'screen_name': 'kmpfoundation', 'name': 'kmp-international/kizito mihigo peace foundation', 'id': '531192689'}]",['https://youtu.be/_smV6e2MKuU'],[],0,0,1,"['factsonrwanda', 'propheticupdate', 'rwanda', 'justice4kizito', 'kizitomihigo', 'genocide', 'tutsi', 'hutu', 'refugees', 'paulkagame', 'aerg', 'mappingreport', 'burundi', 'tanzania', 'africa']",[],https://twitter.com/FreemanBikorwa/status/1231099490653831168,False,,0,,,,,,,,[],,,,
1207619778053099522,1207619778053099522,2019-12-19 11:12:46 UTC,2019-12-19,11:12:46,0,1092454962016276484,chickenbot1,chicken bot,,why did the mongoose cross the border to Burundi?  To get to the International Broadcasting Bureau,en,[],[],[],0,0,0,[],[],https://twitter.com/chickenbot1/status/1207619778053099522,False,,0,,,,,,,,[],,,,
1196747035426328576,1196736445781880832,2019-11-19 11:08:22 UTC,2019-11-19,11:08:22,0,2941242347,hammmyb,حمزة,,@YasWWFC @MaghribFoot @SevillaFC @AFCAjax @RealBetis_en @DFCO_Officiel @HellasVeronaFC @BlackYellow @CDLeganes @AngersSCO I have a lecture at 1 so probs not plus it’s in Burundi who’s gonna be broadcasting it 😂😂,en,[],[],[],2,0,1,[],[],https://twitter.com/HammmyB/status/1196747035426328576,False,,0,,,,,,,,"[{'screen_name': 'YasWWFC', 'name': 'yas', 'id': '2735238228'}, {'screen_name': 'MaghribFoot', 'name': 'Maghrib Foot', 'id': '977305948485189632'}, {'screen_name': 'SevillaFC', 'name': 'Sevilla Fútbol Club', 'id': '115123104'}, {'screen_name': 'AFCAjax', 'name': 'AFC Ajax', 'id': '153000691'}, {'screen_name': 'RealBetis_en', 'name': 'Real Betis Balompié', 'id': '2152455396'}, {'screen_name': 'DFCO_Officiel', 'name': 'Dijon FCO', 'id': '84288520'}, {'screen_name': 'HellasVeronaFC', 'name': 'Hellas Verona FC', 'id': '546103238'}, {'screen_name': 'BlackYellow', 'name': 'Borussia Dortmund', 'id': '961930212656275456'}, {'screen_name': 'CDLeganes', 'name': 'C.D. Leganés', 'id': '170290937'}, {'screen_name': 'AngersSCO', 'name': 'Angers SCO', 'id': '318695478'}]",,,,
1192223636712804353,1192223636712804353,2019-11-06 23:34:00 UTC,2019-11-06,23:34:00,0,919951462985293824,ingomagazine,INGOMAG,,Other radios listen to us...and then you listen to them. Our television informs other televisions so that they can inform you !  The only broadcasting 24/7 in #Burundi  #remafm  #ingomag  https://t.co/rPc5UBPOhI,en,[],[],['https://pbs.twimg.com/media/EIuhDuBWoAAIkNd.jpg'],1,4,9,"['burundi', 'remafm', 'ingomag']",[],https://twitter.com/IngoMagazine/status/1192223636712804353,False,,1,https://pbs.twimg.com/media/EIuhDuBWoAAIkNd.jpg,,,,,,,[],,,,
1187641121205374976,1187641121205374976,2019-10-25 08:04:43 UTC,2019-10-25,08:04:43,0,959876242899193856,leberrien13,LeBerrien13 #GiletsJaunes #Amish #islamogauchiste,,"Banned from broadcasting since 2018, BBC closes bureau in Burundi  via @CPJAfrica  https://t.co/IGenzKvlNe",en,"[{'screen_name': 'cpjafrica', 'name': 'cpj africa', 'id': '128308837'}]",['https://cpj.org/2019/07/banned-from-broadcasting-since-2018-bbc-closes-bur.php'],[],0,0,0,[],[],https://twitter.com/LeBerrien13/status/1187641121205374976,False,,0,,,,,,,,[],,,,
1156313326533718017,1156089030959882240,2019-07-30 21:19:14 UTC,2019-07-30,21:19:14,0,37643773,general_pepper,General Pepper,,@DaveFernig @thomstubbs @jsblokland @SJRickard and listen in to the Burundi Broadcasting Corp for the latest unbiased news coverage! 😜,en,[],[],[],1,0,2,[],[],https://twitter.com/General_Pepper/status/1156313326533718017,False,,0,,,,,,,,"[{'screen_name': 'DaveFernig', 'name': 'Dave Fernig', 'id': '1315308330'}, {'screen_name': 'thomstubbs', 'name': 'Thomas Stubbs', 'id': '807015078'}, {'screen_name': 'jsblokland', 'name': 'jeroen blokland', 'id': '51689310'}, {'screen_name': 'SJRickard', 'name': 'Stephanie Rickard', 'id': '382183909'}]",,,,
1155884021542469632,1155884021542469632,2019-07-29 16:53:20 UTC,2019-07-29,16:53:20,0,125306967,stumblestone,sue valentine,,"Banned from broadcasting since 2018, BBC closes bureau in Burundi   https://t.co/tQkkm6N0CQ via @pressfreedom",en,"[{'screen_name': 'pressfreedom', 'name': 'committee to protect journalists', 'id': '18650093'}]",['https://cpj.org/2019/07/banned-from-broadcasting-since-2018-bbc-closes-bur.php'],[],0,0,0,[],[],https://twitter.com/stumblestone/status/1155884021542469632,False,,0,,,,,,,,[],,,,
1155768509667979265,1155768509667979265,2019-07-29 09:14:20 UTC,2019-07-29,09:14:20,0,4906355435,afro_insider,Afroinsider News,,"Burundi: Banned From Broadcasting Since 2018, BBC Closes Bureau in Burundi  https://t.co/wDkOoX714p",en,[],['https://afroinsider.com/burundi-banned-from-broadcasting-since-2018-bbc-closes-bureau-in-burundi/'],[],0,0,0,[],[],https://twitter.com/afro_insider/status/1155768509667979265,False,,0,,,,,,,,[],,,,
1155168511645425664,1155168511645425664,2019-07-27 17:30:09 UTC,2019-07-27,17:30:09,0,18650093,pressfreedom,Committee to Protect Journalists,,"Banned from broadcasting since 2018, BBC closes bureau in Burundi  https://t.co/deepB3kusL",en,[],['https://cpj.org/2019/07/banned-from-broadcasting-since-2018-bbc-closes-bur.php'],[],0,5,5,[],[],https://twitter.com/pressfreedom/status/1155168511645425664,False,,0,,,,,,,,[],,,,
1155145778131873792,1155145778131873792,2019-07-27 15:59:49 UTC,2019-07-27,15:59:49,0,1154402778623684608,ghislseburyamo,Ghisl Seburyamo,,"Banned from broadcasting since 2018, ⁦@BBCWorld⁩ closes bureau in #Burundi . #BurundiCrisis #Censorship #FreeSpeach - Committee to Protect Journalists  https://t.co/IbbGh2AxG2",en,"[{'screen_name': 'bbcworld', 'name': 'bbc news (world)', 'id': '742143'}]",['https://cpj.org/2019/07/banned-from-broadcasting-since-2018-bbc-closes-bur.php'],[],1,4,4,"['burundi', 'burundicrisis', 'censorship', 'freespeach']",[],https://twitter.com/GhislSeburyamo/status/1155145778131873792,False,,0,,,,,,,,[],,,,
1155105502713581568,1155105502713581568,2019-07-27 13:19:47 UTC,2019-07-27,13:19:47,0,3023635558,yoursosteam,TrollBusters,,"Banned from broadcasting since 2018, BBC closes bureau in Burundi  https://t.co/R05cfc17sx by @pressfreedom #banned",en,"[{'screen_name': 'pressfreedom', 'name': 'committee to protect journalists', 'id': '18650093'}]",['https://cpj.org/2019/07/banned-from-broadcasting-since-2018-bbc-closes-bur.php'],[],0,0,0,['banned'],[],https://twitter.com/yoursosteam/status/1155105502713581568,False,,0,,,,,,,,[],,,,
1155096408073990146,1155096408073990146,2019-07-27 12:43:38 UTC,2019-07-27,12:43:38,0,39975891,saeedbaygi,Saeed Valadbaygi,,"Banned from broadcasting since 2018, BBC closes bureau in Burundi  https://t.co/unuWK27xBe  https://t.co/C1CtQkMx3d",en,[],['https://iranians.global/banned-from-broadcasting-since-2018-bbc-closes-bureau-in-burundi/?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/EAe6D9ZU0AIxlid.jpg'],0,3,1,[],[],https://twitter.com/SaeedBaygi/status/1155096408073990146,False,,1,https://pbs.twimg.com/media/EAe6D9ZU0AIxlid.jpg,,,,,,,[],,,,
1154944163126927360,1154944163126927360,2019-07-27 02:38:40 UTC,2019-07-27,02:38:40,0,1179710990,occuworld,OccuWorld 🏴,,"Banned from broadcasting since 2018, BBC closes bureau in Burundi  https://t.co/5yOCO0pxHM",en,[],['https://cpj.org/2019/07/banned-from-broadcasting-since-2018-bbc-closes-bur.php'],[],0,0,1,[],[],https://twitter.com/OccuWorld/status/1154944163126927360,False,,0,,,,,,,,[],,,,
1154854186468761600,1154854186468761600,2019-07-26 20:41:08 UTC,2019-07-26,20:41:08,0,18650093,pressfreedom,Committee to Protect Journalists,,"#Banned from broadcasting since 2018, BBC closes bureau in Burundi  https://t.co/deepB3kusL",en,[],['https://cpj.org/2019/07/banned-from-broadcasting-since-2018-bbc-closes-bur.php'],[],1,8,3,['banned'],[],https://twitter.com/pressfreedom/status/1154854186468761600,False,,0,,,,,,,,[],,,,
1146037950981054465,1146037950981054465,2019-07-02 12:48:34 UTC,2019-07-02,12:48:34,0,256517975,ca_kenya,CA@20,,"@EacoInfo brings together national ICT regulators, operators, services providers (in the telecoms,broadcasting and postal sub-sectors), ICT training institutions and other stakeholders in the communication sector within Burundi, Kenya, Rwanda, South Sudan, Tanzania and Uganda  https://t.co/1QYzwnwe2X",en,[],[],"['https://pbs.twimg.com/media/D-eLaS_XkAA52nO.jpg', 'https://pbs.twimg.com/media/D-eLaTIXoAAI9tV.jpg', 'https://pbs.twimg.com/media/D-eLaTHWwAElTuq.jpg']",1,1,1,[],[],https://twitter.com/CA_Kenya/status/1146037950981054465,False,,1,https://pbs.twimg.com/media/D-eLaS_XkAA52nO.jpg,,,,,,,[],,,,
1142524698674249728,1142524698674249728,2019-06-22 20:08:09 UTC,2019-06-22,20:08:09,0,824363104360398848,cimplybm_,Sports Queen....,,What a game it was broadcasting live @TotalAFCON2019 on @motswedingfm @NGSuperEagles  vs @Burundi...lets do it again tomorrow on your radio mega dial...,en,"[{'screen_name': 'totalafcon2019', 'name': 'total afcon 2019', 'id': '1112829177978290176'}, {'screen_name': 'motswedingfm', 'name': 'motsweding fm', 'id': '52694543'}, {'screen_name': 'ngsupereagles', 'name': '🇳🇬 super eagles', 'id': '2281496462'}, {'screen_name': 'burundi', 'name': 'burundi', 'id': '4716605080'}]",[],[],0,0,2,[],[],https://twitter.com/CimplyBM_/status/1142524698674249728,False,,0,,,,,,,,[],,,,
1142523847125688322,1142523847125688322,2019-06-22 20:04:46 UTC,2019-06-22,20:04:46,0,1136695822626840576,unionuar,African Union Of Broadcasting - UAR,,Nigeria 1 - Burundi: 0 #TotalAFCON2019  #African_Union_Of_Broadcasting #AUB_CAF_2019 ⚽️⚽️😍😍😍 #Tv_Rights🎥🎥📺📺📺📺📻📻  https://t.co/TjOdo7iajJ,eu,[],[],['https://pbs.twimg.com/media/D9sPPwhXkAEQL1E.jpg'],0,0,1,"['totalafcon2019', 'african_union_of_broadcasting', 'aub_caf_2019', 'tv_rights']",[],https://twitter.com/UnionUar/status/1142523847125688322,False,,1,https://pbs.twimg.com/media/D9sPPwhXkAEQL1E.jpg,,,,,,,[],,,,
1142480961608835075,1142480961608835075,2019-06-22 17:14:22 UTC,2019-06-22,17:14:22,0,145613202,sammyajufo,Blak ZADDI,,AFCON2019 | Egypt  Group B Team Line up   ✅ Nigeria ✅ Burundi ✅ Guinea  ✅ Madagascar   Enable Notifications to get our latest content #mycolortv #media #branding #creativity #broadcasting #contentcreator #television #tvshows #colorcodemedia #music #m…  https://t.co/3KnaNLCmaH  https://t.co/Q0Z9OdAwOA,en,[],['http://bit.ly/2IxuHtQ'],['https://pbs.twimg.com/media/D9roYWjXUAAcmDf.jpg'],0,0,0,"['mycolortv', 'media', 'branding', 'creativity', 'broadcasting', 'contentcreator', 'television', 'tvshows', 'colorcodemedia', 'music', 'm']",[],https://twitter.com/sammyajufo/status/1142480961608835075,False,,1,https://pbs.twimg.com/media/D9roYWjXUAAcmDf.jpg,,,,,,,[],,,,
1142478318194683910,1142478318194683910,2019-06-22 17:03:51 UTC,2019-06-22,17:03:51,0,1119512740148727809,mycolor_tv,MyColorTV,,AFCON2019 | Egypt  Group B Team Line up   ✅ Nigeria ✅ Burundi ✅ Guinea  ✅ Madagascar   Enable Notifications to get our latest content #mycolortv #media #branding #creativity #broadcasting #contentcreator #television…  https://t.co/FpZAHtThPA,en,[],['https://www.instagram.com/p/BzBQMHdAfVF/?igshid=cjtslf9imjtk'],[],0,1,0,"['mycolortv', 'media', 'branding', 'creativity', 'broadcasting', 'contentcreator', 'television']",[],https://twitter.com/mycolor_tv/status/1142478318194683910,False,,0,,,,,,,,[],,,,
1141626388526632961,1141626388526632961,2019-06-20 08:38:36 UTC,2019-06-20,08:38:36,0,893191960693018624,hr_omn,Oman HR,,"One of the attempts by #Oman official TV 2 convince the international community that living conditions of the forgotten Omanis in #Burundi are very good, by broadcasting a statement of the Burundi President,Pierre Nkurunziza,in a documentary 2justify their denial of #Right2Return  https://t.co/bCCiDbDf6o",en,[],[],[],1,1,1,"['oman', 'burundi', 'right2return']",[],https://twitter.com/HR_OMN/status/1141626388526632961,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1141626017779474432/pu/img/PcXG-dnct_DkSmSA.jpg,,,,,,,[],,,,
1140701329611870211,1140701329611870211,2019-06-17 19:22:44 UTC,2019-06-17,19:22:44,0,1093499946609762305,sportskwkm,世界のスポーツ。最新トレンド＆リアクション,,"✨インドで人気No6✨This day is 17 June and we have to watch the game between Tunisia and Burundi! The game is playing from International. Actually, hello everyone! Today&amp;#39;s seasonday we&amp;#39;re broadcasting especially for you, football lovers. The football scramble is in the&amp;",ja,[],[],[],0,0,0,[],[],https://twitter.com/sportskwkm/status/1140701329611870211,False,,0,,,,,,,,[],,,,
1137445260173467648,1137445260173467648,2019-06-08 19:44:17 UTC,2019-06-08,19:44:17,0,21826637,thierryu,Thierry Uwamahoro,,"#Burundi ruling party youth threaten to ""angrily march all the way to #Paris"" if the Nkurunziza gvmt fails to suspend @rfi from broadcasting in Burundi.  I thought the Nkurunziza gvmt was in Gitega. Why march all the way to Paris? Or is there a local bar named ""Paris"" in Gitega?",en,"[{'screen_name': 'rfi', 'name': 'rfi', 'id': '32861321'}]",[],[],4,7,9,"['burundi', 'paris']",[],https://twitter.com/ThierryU/status/1137445260173467648,False,https://twitter.com/ItaraBurundi/status/1137299789505318912,0,,,,,,,,[],,,,
1125836130799181824,1125740935353028608,2019-05-07 18:53:45 UTC,2019-05-07,18:53:45,0,2234388656,anotherburundi,NT,,"@NzeyimanaBerna2 @MissyMunez Getting credible info from your #RTLM Media #burundi version “ #RPA” broadcasting from Kgli, where Dictatorship is voted by 99% and, “free press” is simply taboo, ... it is the dumbest thing one can do.",en,[],[],[],1,0,0,"['rtlm', 'burundi', 'rpa']",[],https://twitter.com/AnotherBurundi/status/1125836130799181824,False,,0,,,,,,,,"[{'screen_name': 'NzeyimanaBerna2', 'name': 'NZEYIMANA', 'id': '3428687189'}, {'screen_name': 'MissyMunez', 'name': 'MissyMunezer', 'id': '792643687490740224'}]",,,,
1125439905528786950,1125439905528786950,2019-05-06 16:39:17 UTC,2019-05-06,16:39:17,0,16183601,insidevoa,VOA Public Relations,,"This week we will be spotlighting @RadiyoyacuVOA – broadcasting to the people of Rwanda, Burundi, Eastern Democratic Republic of Congo, Southern Uganda, and Northwest Tanzania!",en,"[{'screen_name': 'radiyoyacuvoa', 'name': 'voa radiyoyacu', 'id': '325721861'}]",[],[],0,1,0,[],[],https://twitter.com/insidevoa/status/1125439905528786950,False,,0,,,,,,,,[],,,,
